"","V1","V2","V3"
"912.3333",912.3333,0.011975,-0.21555
"912.3611",912.3611,0.011475,-0.20655
"912.3889",912.3889,0.011,-0.198
"912.4167",912.4167,0.01055,-0.1899
"912.4444",912.4444,0.010125,-0.18225
"912.4722",912.4722,0.009725,-0.17505
"912.5",912.5,0.009325,-0.16785
"912.5278",912.5278,0.00895,-0.1611
"912.5556",912.5556,0.008575,-0.15435
"912.5833",912.5833,0.008225,-0.14805
"912.6111",912.6111,0.0079,-0.1422
"912.6389",912.6389,0.007575,-0.13635
"912.6667",912.6667,0.00725,-0.1305
"912.6944",912.6944,0.006975,-0.12555
"912.7222",912.7222,0.006675,-0.12015
"912.75",912.75,0.0064,-0.1152
"912.7778",912.7778,0.00615,-0.1107
"912.8056",912.8056,0.0059,-0.1062
"912.8333",912.8333,0.00565,-0.1017
"912.8611",912.8611,0.005425,-0.09765
"912.8889",912.8889,0.0052,-0.0936
"912.9167",912.9167,0.005,-0.09
"912.9444",912.9444,0.004775,-0.08595
"912.9722",912.9722,0.0046,-0.0828
"913",913,0.0044,-0.0792
"913.0278",913.0278,0.004225,-0.07605
"913.0556",913.0556,0.00405,-0.0729
"913.0833",913.0833,0.003875,-0.06975
"913.1111",913.1111,0.003725,-0.06705
"913.1389",913.1389,0.003575,-0.06435
"913.1667",913.1667,0.003425,-0.06165
"913.1944",913.1944,0.0033,-0.0594
"913.2222",913.2222,0.00315,-0.0567
"913.25",913.25,0.003025,-0.05445
"913.2778",913.2778,0.0029,-0.0522
"913.3056",913.3056,0.002775,-0.04995
"913.3333",913.3333,0.002675,-0.04815
"913.3611",913.3611,0.00255,-0.0459
"913.3889",913.3889,0.00245,-0.0441
"913.4167",913.4167,0.00235,-0.0423
"913.4444",913.4444,0.00225,-0.0405
"913.4722",913.4722,0.002175,-0.03915
"913.5",913.5,0.002075,-0.03735
"913.5278",913.5278,0.002,-0.036
"913.5556",913.5556,0.001925,-0.03465
"913.5833",913.5833,0.001825,-0.03285
"913.6111",913.6111,0.00175,-0.0315
"913.6389",913.6389,0.0017,-0.0306
"913.6667",913.6667,0.001625,-0.02925
"913.6944",913.6944,0.00155,-0.0279
"913.7222",913.7222,0.0015,-0.027
"913.75",913.75,0.001425,-0.02565
"913.7778",913.7778,0.001375,-0.02475
"913.8056",913.8056,0.001325,-0.02385
"913.8333",913.8333,0.00125,-0.0225
"913.8611",913.8611,0.0012,-0.0216
"913.8889",913.8889,0.00115,-0.0207
"913.9167",913.9167,0.001125,-0.02025
"913.9444",913.9444,0.001075,-0.01935
"913.9722",913.9722,0.001025,-0.01845
"914",914,0.000975,-0.01755
"914.0278",914.0278,0.00095,-0.0171
"914.0556",914.0556,9e-04,-0.0162
"914.0833",914.0833,0.000875,-0.01575
"914.1111",914.1111,0.000825,-0.01485
"914.1389",914.1389,8e-04,-0.0144
"914.1667",914.1667,0.000775,-0.01395
"914.1944",914.1944,0.000725,-0.01305
"914.2222",914.2222,7e-04,-0.0126
"914.25",914.25,0.000675,-0.01215
"914.2778",914.2778,0.00065,-0.0117
"914.3056",914.3056,0.000625,-0.01125
"914.3333",914.3333,6e-04,-0.0108
"914.3611",914.3611,0.000575,-0.01035
"914.3889",914.3889,0.00055,-0.0099
"914.4167",914.4167,0.000525,-0.00945
"914.4444",914.4444,5e-04,-0.009
"914.4722",914.4722,0,0
"914.5",914.5,0,0
"914.5278",914.5278,0,0
"914.5556",914.5556,0,0
"914.5833",914.5833,0,0
"914.6111",914.6111,0,0
"914.6389",914.6389,0,0
"914.6667",914.6667,0,0
"914.6944",914.6944,0,0
"914.7222",914.7222,0,0
"914.75",914.75,0,0
"914.7778",914.7778,0,0
"914.8056",914.8056,0,0
"914.8333",914.8333,0,0
"914.8611",914.8611,0,0
"914.8889",914.8889,0,0
"914.9167",914.9167,0,0
"914.9444",914.9444,0,0
"914.9722",914.9722,0,0
"915",915,0,0
"915.0278",915.0278,0,0
"915.0556",915.0556,0,0
"915.0833",915.0833,0,0
"915.1111",915.1111,0,0
"915.1389",915.1389,0,0
"915.1667",915.1667,0,0
"915.1944",915.1944,0,0
"915.2222",915.2222,0,0
"915.25",915.25,0,0
"915.2778",915.2778,0,0
"915.3056",915.3056,0,0
"915.3333",915.3333,0,0
"915.3611",915.3611,0,0
"915.3889",915.3889,0,0
"915.4167",915.4167,0,0
"915.4444",915.4444,0,0
"915.4722",915.4722,0,0
"915.5",915.5,0,0
"915.5278",915.5278,0,0
"915.5556",915.5556,0,0
"915.5833",915.5833,0,0
"915.6111",915.6111,0,0
"915.6389",915.6389,0,0
"915.6667",915.6667,0,0
"915.6944",915.6944,0,0
"915.7222",915.7222,0,0
"915.75",915.75,0,0
"915.7778",915.7778,0,0
"915.8056",915.8056,0,0
"915.8333",915.8333,0,0
"915.8611",915.8611,0,0
"915.8889",915.8889,0,0
"915.9167",915.9167,0,0
"915.9444",915.9444,0,0
"915.9722",915.9722,0,0
"916",916,0,0
"916.0278",916.0278,0,0
"916.0556",916.0556,0,0
"916.0833",916.0833,0,0
"916.1111",916.1111,0,0
"916.1389",916.1389,0,0
"916.1667",916.1667,0,0
"916.1944",916.1944,0,0
"916.2222",916.2222,0,0
"916.25",916.25,0,0
"916.2778",916.2778,0,0
"916.3056",916.3056,0,0
"916.3333",916.3333,0,0
"916.3611",916.3611,0,0
"916.3889",916.3889,0,0
"916.4167",916.4167,0,0
"916.4444",916.4444,0,0
"916.4722",916.4722,0,0
"916.5",916.5,0,0
"916.5278",916.5278,0,0
"916.5556",916.5556,0,0
"916.5833",916.5833,0,0
"916.6111",916.6111,0,0
"916.6389",916.6389,0,0
"916.6667",916.6667,0,0
"916.6944",916.6944,0,0
"916.7222",916.7222,0,0
"916.75",916.75,0,0
"916.7778",916.7778,0,0
"916.8056",916.8056,0,0
"916.8333",916.8333,0,0
"916.8611",916.8611,0,0
"916.8889",916.8889,0,0
"916.9167",916.9167,0,0
"916.9444",916.9444,0,0
"916.9722",916.9722,0,0
"917",917,0,0
"917.0278",917.0278,0,0
"917.0556",917.0556,0,0
"917.0833",917.0833,0,0
"917.1111",917.1111,0,0
"917.1389",917.1389,0,0
"917.1667",917.1667,0,0
"917.1944",917.1944,0,0
"917.2222",917.2222,0,0
"917.25",917.25,0,0
"917.2778",917.2778,0,0
"917.3056",917.3056,0,0
"917.3333",917.3333,0,0
"917.3611",917.3611,0,0
"917.3889",917.3889,0,0
"917.4167",917.4167,0,0
"917.4444",917.4444,0,0
"917.4722",917.4722,0,0
"917.5",917.5,0,0
"917.5278",917.5278,0,0
"917.5556",917.5556,0,0
"917.5833",917.5833,0,0
"917.6111",917.6111,0,0
"917.6389",917.6389,0,0
"917.6667",917.6667,0,0
"917.6944",917.6944,0,0
"917.7222",917.7222,0,0
"917.75",917.75,0,0
"917.7778",917.7778,0,0
"917.8056",917.8056,0,0
"917.8333",917.8333,0,0
"917.8611",917.8611,0,0
"917.8889",917.8889,0,0
"917.9167",917.9167,0,0
"917.9444",917.9444,0,0
"917.9722",917.9722,0,0
"918",918,0.00275,-0.0495
"918.0278",918.0278,0.00435,-0.0783
"918.0556",918.0556,0.005975,-0.10755
"918.0833",918.0833,0.007575,-0.13635
"918.1111",918.1111,0.009175,-0.16515
"918.1389",918.1389,0.0108,-0.1944
"918.1667",918.1667,0.0124,-0.2232
"918.1944",918.1944,0.014,-0.252
"918.2222",918.2222,0.015625,-0.28125
"918.25",918.25,0.0161,-0.2898
"918.2778",918.2778,0.0161,-0.2898
"918.3056",918.3056,0.0161,-0.2898
"918.3333",918.3333,0.0161,-0.2898
"918.3611",918.3611,0.0161,-0.2898
"918.3889",918.3889,0.0161,-0.2898
"918.4167",918.4167,0.0161,-0.2898
"918.4444",918.4444,0.015425,-0.27765
"918.4722",918.4722,0.0148,-0.2664
"918.5",918.5,0.0142,-0.2556
"918.5278",918.5278,0.013625,-0.24525
"918.5556",918.5556,0.01305,-0.2349
"918.5833",918.5833,0.012525,-0.22545
"918.6111",918.6111,0.012025,-0.21645
"918.6389",918.6389,0.011525,-0.20745
"918.6667",918.6667,0.01105,-0.1989
"918.6944",918.6944,0.0106,-0.1908
"918.7222",918.7222,0.010175,-0.18315
"918.75",918.75,0.00975,-0.1755
"918.7778",918.7778,0.00935,-0.1683
"918.8056",918.8056,0.008975,-0.16155
"918.8333",918.8333,0.0086,-0.1548
"918.8611",918.8611,0.00825,-0.1485
"918.8889",918.8889,0.007925,-0.14265
"918.9167",918.9167,0.0076,-0.1368
"918.9444",918.9444,0.0073,-0.1314
"918.9722",918.9722,0.007,-0.126
"919",919,0.0067,-0.1206
"919.0278",919.0278,0.006425,-0.11565
"919.0556",919.0556,0.006175,-0.11115
"919.0833",919.0833,0.005925,-0.10665
"919.1111",919.1111,0.005675,-0.10215
"919.1389",919.1389,0.00545,-0.0981
"919.1667",919.1667,0.005225,-0.09405
"919.1944",919.1944,0.005,-0.09
"919.2222",919.2222,0.0048,-0.0864
"919.25",919.25,0.0046,-0.0828
"919.2778",919.2778,0.004425,-0.07965
"919.3056",919.3056,0.00425,-0.0765
"919.3333",919.3333,0.004075,-0.07335
"919.3611",919.3611,0.0039,-0.0702
"919.3889",919.3889,0.00375,-0.0675
"919.4167",919.4167,0.0036,-0.0648
"919.4444",919.4444,0.00345,-0.0621
"919.4722",919.4722,0.0033,-0.0594
"919.5",919.5,0.003175,-0.05715
"919.5278",919.5278,0.00305,-0.0549
"919.5556",919.5556,0.002925,-0.05265
"919.5833",919.5833,0.0028,-0.0504
"919.6111",919.6111,0.002675,-0.04815
"919.6389",919.6389,0.002575,-0.04635
"919.6667",919.6667,0.002475,-0.04455
"919.6944",919.6944,0.002375,-0.04275
"919.7222",919.7222,0.002275,-0.04095
"919.75",919.75,0.002175,-0.03915
"919.7778",919.7778,0.0021,-0.0378
"919.8056",919.8056,0.002,-0.036
"919.8333",919.8333,0.001925,-0.03465
"919.8611",919.8611,0.00185,-0.0333
"919.8889",919.8889,0.001775,-0.03195
"919.9167",919.9167,0.0017,-0.0306
"919.9444",919.9444,0.001625,-0.02925
"919.9722",919.9722,0.00155,-0.0279
"920",920,0.0015,-0.027
"920.0278",920.0278,0.001425,-0.02565
"920.0556",920.0556,0.001375,-0.02475
"920.0833",920.0833,0.001325,-0.02385
"920.1111",920.1111,0.001275,-0.02295
"920.1389",920.1389,0.001225,-0.02205
"920.1667",920.1667,0.001175,-0.02115
"920.1944",920.1944,0.001125,-0.02025
"920.2222",920.2222,0.001075,-0.01935
"920.25",920.25,0.001025,-0.01845
"920.2778",920.2778,0.000975,-0.01755
"920.3056",920.3056,0.00095,-0.0171
"920.3333",920.3333,9e-04,-0.0162
"920.3611",920.3611,0.000875,-0.01575
"920.3889",920.3889,0.000825,-0.01485
"920.4167",920.4167,8e-04,-0.0144
"920.4444",920.4444,0.000775,-0.01395
"920.4722",920.4722,0.000725,-0.01305
"920.5",920.5,7e-04,-0.0126
"920.5278",920.5278,0.000675,-0.01215
"920.5556",920.5556,0.00065,-0.0117
"920.5833",920.5833,0.000625,-0.01125
"920.6111",920.6111,6e-04,-0.0108
"920.6389",920.6389,0.000575,-0.01035
"920.6667",920.6667,0.00055,-0.0099
"920.6944",920.6944,0.000525,-0.00945
"920.7222",920.7222,5e-04,-0.009
"920.75",920.75,0.000475,-0.00855
"920.7778",920.7778,0.000475,-0.00855
"920.8056",920.8056,0.00045,-0.0081
"920.8333",920.8333,0.000425,-0.00765
"920.8611",920.8611,4e-04,-0.0072
"920.8889",920.8889,4e-04,-0.0072
"920.9167",920.9167,0.000375,-0.00675
"920.9444",920.9444,0.000375,-0.00675
"920.9722",920.9722,0.00035,-0.0063
"921",921,0.000325,-0.00585
"921.0278",921.0278,0.000325,-0.00585
"921.0556",921.0556,3e-04,-0.0054
"921.0833",921.0833,3e-04,-0.0054
"921.1111",921.1111,0.000275,-0.00495
"921.1389",921.1389,0.000275,-0.00495
"921.1667",921.1667,0.00025,-0.0045
"921.1944",921.1944,0.00025,-0.0045
"921.2222",921.2222,0.00025,-0.0045
"921.25",921.25,0.000225,-0.00405
"921.2778",921.2778,0.000225,-0.00405
"921.3056",921.3056,2e-04,-0.0036
"921.3333",921.3333,2e-04,-0.0036
"921.3611",921.3611,2e-04,-0.0036
"921.3889",921.3889,0.000175,-0.00315
"921.4167",921.4167,0.000175,-0.00315
"921.4444",921.4444,0,0
"921.4722",921.4722,0,0
"921.5",921.5,0,0
"921.5278",921.5278,0,0
"921.5556",921.5556,0,0
"921.5833",921.5833,0,0
"921.6111",921.6111,0,0
"921.6389",921.6389,0,0
"921.6667",921.6667,0,0
"921.6944",921.6944,0,0
"921.7222",921.7222,0,0
"921.75",921.75,0,0
"921.7778",921.7778,0,0
"921.8056",921.8056,0,0
"921.8333",921.8333,0,0
"921.8611",921.8611,0,0
"921.8889",921.8889,0,0
"921.9167",921.9167,0,0
"921.9444",921.9444,0,0
"921.9722",921.9722,0,0
"922",922,0,0
"922.0278",922.0278,0,0
"922.0556",922.0556,0,0
"922.0833",922.0833,0,0
"922.1111",922.1111,0,0
"922.1389",922.1389,0,0
"922.1667",922.1667,0,0
"922.1944",922.1944,0,0
"922.2222",922.2222,0,0
"922.25",922.25,0,0
"922.2778",922.2778,0,0
"922.3056",922.3056,0,0
"922.3333",922.3333,0,0
"922.3611",922.3611,0,0
"922.3889",922.3889,0,0
"922.4167",922.4167,0,0
"922.4444",922.4444,0,0
"922.4722",922.4722,0,0
"922.5",922.5,0,0
"922.5278",922.5278,0,0
"922.5556",922.5556,0,0
"922.5833",922.5833,0,0
"922.6111",922.6111,0,0
"922.6389",922.6389,0,0
"922.6667",922.6667,0,0
"922.6944",922.6944,0,0
"922.7222",922.7222,0,0
"922.75",922.75,0,0
"922.7778",922.7778,0,0
"922.8056",922.8056,0,0
"922.8333",922.8333,0,0
"922.8611",922.8611,0,0
"922.8889",922.8889,0,0
"922.9167",922.9167,0,0
"922.9444",922.9444,0,0
"922.9722",922.9722,0,0
"923",923,0,0
"923.0278",923.0278,0,0
"923.0556",923.0556,0,0
"923.0833",923.0833,0,0
"923.1111",923.1111,0,0
"923.1389",923.1389,0,0
"923.1667",923.1667,0,0
"923.1944",923.1944,0,0
"923.2222",923.2222,0,0
"923.25",923.25,0,0
"923.2778",923.2778,0,0
"923.3056",923.3056,0,0
"923.3333",923.3333,0,0
"923.3611",923.3611,0,0
"923.3889",923.3889,0,0
"923.4167",923.4167,0,0
"923.4444",923.4444,0,0
"923.4722",923.4722,0,0
"923.5",923.5,0,0
"923.5278",923.5278,0,0
"923.5556",923.5556,0,0
"923.5833",923.5833,0,0
"923.6111",923.6111,0,0
"923.6389",923.6389,0,0
"923.6667",923.6667,0,0
"923.6944",923.6944,0,0
"923.7222",923.7222,0,0
"923.75",923.75,0,0
"923.7778",923.7778,0,0
"923.8056",923.8056,0,0
"923.8333",923.8333,0,0
"923.8611",923.8611,0,0
"923.8889",923.8889,0,0
"923.9167",923.9167,0,0
"923.9444",923.9444,0,0
"923.9722",923.9722,0,0
"924",924,0.00275,-0.0495
"924.0278",924.0278,0.005225,-0.09405
"924.0556",924.0556,0.007675,-0.13815
"924.0833",924.0833,0.01015,-0.1827
"924.1111",924.1111,0.012625,-0.22725
"924.1389",924.1389,0.015075,-0.27135
"924.1667",924.1667,0.01755,-0.3159
"924.1944",924.1944,0.020025,-0.36045
"924.2222",924.2222,0.022475,-0.40455
"924.25",924.25,0.024675,-0.44415
"924.2778",924.2778,0.024675,-0.44415
"924.3056",924.3056,0.024675,-0.44415
"924.3333",924.3333,0.024675,-0.44415
"924.3611",924.3611,0.024675,-0.44415
"924.3889",924.3889,0.024675,-0.44415
"924.4167",924.4167,0.024675,-0.44415
"924.4444",924.4444,0.02365,-0.4257
"924.4722",924.4722,0.0227,-0.4086
"924.5",924.5,0.021775,-0.39195
"924.5278",924.5278,0.020875,-0.37575
"924.5556",924.5556,0.020025,-0.36045
"924.5833",924.5833,0.0192,-0.3456
"924.6111",924.6111,0.018425,-0.33165
"924.6389",924.6389,0.017675,-0.31815
"924.6667",924.6667,0.01695,-0.3051
"924.6944",924.6944,0.01625,-0.2925
"924.7222",924.7222,0.0156,-0.2808
"924.75",924.75,0.01495,-0.2691
"924.7778",924.7778,0.01435,-0.2583
"924.8056",924.8056,0.013775,-0.24795
"924.8333",924.8333,0.0132,-0.2376
"924.8611",924.8611,0.012675,-0.22815
"924.8889",924.8889,0.01215,-0.2187
"924.9167",924.9167,0.01165,-0.2097
"924.9444",924.9444,0.011175,-0.20115
"924.9722",924.9722,0.010725,-0.19305
"925",925,0.010275,-0.18495
"925.0278",925.0278,0.009875,-0.17775
"925.0556",925.0556,0.00945,-0.1701
"925.0833",925.0833,0.009075,-0.16335
"925.1111",925.1111,0.0087,-0.1566
"925.1389",925.1389,0.00835,-0.1503
"925.1667",925.1667,0.008,-0.144
"925.1944",925.1944,0.007675,-0.13815
"925.2222",925.2222,0.007375,-0.13275
"925.25",925.25,0.007075,-0.12735
"925.2778",925.2778,0.006775,-0.12195
"925.3056",925.3056,0.0065,-0.117
"925.3333",925.3333,0.006225,-0.11205
"925.3611",925.3611,0.005975,-0.10755
"925.3889",925.3889,0.00575,-0.1035
"925.4167",925.4167,0.0055,-0.099
"925.4444",925.4444,0.005275,-0.09495
"925.4722",925.4722,0.005075,-0.09135
"925.5",925.5,0.00485,-0.0873
"925.5278",925.5278,0.00465,-0.0837
"925.5556",925.5556,0.004475,-0.08055
"925.5833",925.5833,0.004275,-0.07695
"925.6111",925.6111,0.0041,-0.0738
"925.6389",925.6389,0.00395,-0.0711
"925.6667",925.6667,0.003775,-0.06795
"925.6944",925.6944,0.003625,-0.06525
"925.7222",925.7222,0.003475,-0.06255
"925.75",925.75,0.00335,-0.0603
"925.7778",925.7778,0.0032,-0.0576
"925.8056",925.8056,0.003075,-0.05535
"925.8333",925.8333,0.00295,-0.0531
"925.8611",925.8611,0.002825,-0.05085
"925.8889",925.8889,0.0027,-0.0486
"925.9167",925.9167,0.0026,-0.0468
"925.9444",925.9444,0.0025,-0.045
"925.9722",925.9722,0.0024,-0.0432
"926",926,0.0023,-0.0414
"926.0278",926.0278,0.0022,-0.0396
"926.0556",926.0556,0.0021,-0.0378
"926.0833",926.0833,0.002025,-0.03645
"926.1111",926.1111,0.00195,-0.0351
"926.1389",926.1389,0.001875,-0.03375
"926.1667",926.1667,0.001775,-0.03195
"926.1944",926.1944,0.001725,-0.03105
"926.2222",926.2222,0.00165,-0.0297
"926.25",926.25,0.001575,-0.02835
"926.2778",926.2778,0.001525,-0.02745
"926.3056",926.3056,0.00145,-0.0261
"926.3333",926.3333,0.0014,-0.0252
"926.3611",926.3611,0.001325,-0.02385
"926.3889",926.3889,0.001275,-0.02295
"926.4167",926.4167,0.001225,-0.02205
"926.4444",926.4444,0.001175,-0.02115
"926.4722",926.4722,0.001125,-0.02025
"926.5",926.5,0.001075,-0.01935
"926.5278",926.5278,0.00105,-0.0189
"926.5556",926.5556,0.001,-0.018
"926.5833",926.5833,0.00095,-0.0171
"926.6111",926.6111,0.000925,-0.01665
"926.6389",926.6389,0.000875,-0.01575
"926.6667",926.6667,0.00085,-0.0153
"926.6944",926.6944,8e-04,-0.0144
"926.7222",926.7222,0.000775,-0.01395
"926.75",926.75,0.00075,-0.0135
"926.7778",926.7778,0.000725,-0.01305
"926.8056",926.8056,0.000675,-0.01215
"926.8333",926.8333,0.00065,-0.0117
"926.8611",926.8611,0.000625,-0.01125
"926.8889",926.8889,6e-04,-0.0108
"926.9167",926.9167,0.000575,-0.01035
"926.9444",926.9444,0.00055,-0.0099
"926.9722",926.9722,0.000525,-0.00945
"927",927,5e-04,-0.009
"927.0278",927.0278,5e-04,-0.009
"927.0556",927.0556,0.000475,-0.00855
"927.0833",927.0833,0.00045,-0.0081
"927.1111",927.1111,0.000425,-0.00765
"927.1389",927.1389,0.000425,-0.00765
"927.1667",927.1667,4e-04,-0.0072
"927.1944",927.1944,0.000375,-0.00675
"927.2222",927.2222,0.000375,-0.00675
"927.25",927.25,0.00035,-0.0063
"927.2778",927.2778,0.00035,-0.0063
"927.3056",927.3056,0.000325,-0.00585
"927.3333",927.3333,3e-04,-0.0054
"927.3611",927.3611,3e-04,-0.0054
"927.3889",927.3889,0.000275,-0.00495
"927.4167",927.4167,0.000275,-0.00495
"927.4444",927.4444,0,0
"927.4722",927.4722,0,0
"927.5",927.5,0,0
"927.5278",927.5278,0,0
"927.5556",927.5556,0,0
"927.5833",927.5833,0,0
"927.6111",927.6111,0,0
"927.6389",927.6389,0,0
"927.6667",927.6667,0,0
"927.6944",927.6944,0,0
"927.7222",927.7222,0,0
"927.75",927.75,0,0
"927.7778",927.7778,0,0
"927.8056",927.8056,0,0
"927.8333",927.8333,0,0
"927.8611",927.8611,0,0
"927.8889",927.8889,0,0
"927.9167",927.9167,0,0
"927.9444",927.9444,0,0
"927.9722",927.9722,0,0
"928",928,0,0
"928.0278",928.0278,0,0
"928.0556",928.0556,0,0
"928.0833",928.0833,0,0
"928.1111",928.1111,0,0
"928.1389",928.1389,0,0
"928.1667",928.1667,0,0
"928.1944",928.1944,0,0
"928.2222",928.2222,0,0
"928.25",928.25,0,0
"928.2778",928.2778,0,0
"928.3056",928.3056,0,0
"928.3333",928.3333,0,0
"928.3611",928.3611,0,0
"928.3889",928.3889,0,0
"928.4167",928.4167,0,0
"928.4444",928.4444,0,0
"928.4722",928.4722,0,0
"928.5",928.5,0,0
"928.5278",928.5278,0,0
"928.5556",928.5556,0,0
"928.5833",928.5833,0,0
"928.6111",928.6111,0,0
"928.6389",928.6389,0,0
"928.6667",928.6667,0,0
"928.6944",928.6944,0,0
"928.7222",928.7222,0,0
"928.75",928.75,0,0
"928.7778",928.7778,0,0
"928.8056",928.8056,0,0
"928.8333",928.8333,0,0
"928.8611",928.8611,0,0
"928.8889",928.8889,0,0
"928.9167",928.9167,0,0
"928.9444",928.9444,0,0
"928.9722",928.9722,0,0
"929",929,0,0
"929.0278",929.0278,0,0
"929.0556",929.0556,0,0
"929.0833",929.0833,0,0
"929.1111",929.1111,0,0
"929.1389",929.1389,0,0
"929.1667",929.1667,0,0
"929.1944",929.1944,0,0
"929.2222",929.2222,0,0
"929.25",929.25,0,0
"929.2778",929.2778,0,0
"929.3056",929.3056,0,0
"929.3333",929.3333,0,0
"929.3611",929.3611,0,0
"929.3889",929.3889,0,0
"929.4167",929.4167,0,0
"929.4444",929.4444,0,0
"929.4722",929.4722,0,0
"929.5",929.5,0,0
"929.5278",929.5278,0,0
"929.5556",929.5556,0,0
"929.5833",929.5833,0,0
"929.6111",929.6111,0,0
"929.6389",929.6389,0,0
"929.6667",929.6667,0,0
"929.6944",929.6944,0,0
"929.7222",929.7222,0,0
"929.75",929.75,0,0
"929.7778",929.7778,0,0
"929.8056",929.8056,0,0
"929.8333",929.8333,0,0
"929.8611",929.8611,0,0
"929.8889",929.8889,0,0
"929.9167",929.9167,0,0
"929.9444",929.9444,0,0
"929.9722",929.9722,0,0
"930",930,0,0
"930.0278",930.0278,0,0
"930.0556",930.0556,0,0
"930.0833",930.0833,0,0
"930.1111",930.1111,0,0
"930.1389",930.1389,0,0
"930.1667",930.1667,0,0
"930.1944",930.1944,0,0
"930.2222",930.2222,0,0
"930.25",930.25,0,0
"930.2778",930.2778,0,0
"930.3056",930.3056,0,0
"930.3333",930.3333,0,0
"930.3611",930.3611,0,0
"930.3889",930.3889,0,0
"930.4167",930.4167,0,0
"930.4444",930.4444,0,0
"930.4722",930.4722,0,0
"930.5",930.5,0,0
"930.5278",930.5278,0,0
"930.5556",930.5556,0,0
"930.5833",930.5833,0,0
"930.6111",930.6111,0,0
"930.6389",930.6389,0,0
"930.6667",930.6667,0,0
"930.6944",930.6944,0,0
"930.7222",930.7222,0,0
"930.75",930.75,0,0
"930.7778",930.7778,0,0
"930.8056",930.8056,0,0
"930.8333",930.8333,0,0
"930.8611",930.8611,0,0
"930.8889",930.8889,0,0
"930.9167",930.9167,0,0
"930.9444",930.9444,0,0
"930.9722",930.9722,0,0
"931",931,0,0
"931.0278",931.0278,0,0
"931.0556",931.0556,0,0
"931.0833",931.0833,0,0
"931.1111",931.1111,0,0
"931.1389",931.1389,0,0
"931.1667",931.1667,0,0
"931.1944",931.1944,0,0
"931.2222",931.2222,0,0
"931.25",931.25,0,0
"931.2778",931.2778,0,0
"931.3056",931.3056,0,0
"931.3333",931.3333,0,0
"931.3611",931.3611,0,0
"931.3889",931.3889,0,0
"931.4167",931.4167,0,0
"931.4444",931.4444,0,0
"931.4722",931.4722,0,0
"931.5",931.5,0,0
"931.5278",931.5278,0,0
"931.5556",931.5556,0,0
"931.5833",931.5833,0,0
"931.6111",931.6111,0,0
"931.6389",931.6389,0,0
"931.6667",931.6667,0,0
"931.6944",931.6944,0,0
"931.7222",931.7222,0,0
"931.75",931.75,0,0
"931.7778",931.7778,0,0
"931.8056",931.8056,0,0
"931.8333",931.8333,0,0
"931.8611",931.8611,0,0
"931.8889",931.8889,0,0
"931.9167",931.9167,0,0
"931.9444",931.9444,0,0
"931.9722",931.9722,0,0
"932",932,0,0
"932.0278",932.0278,0,0
"932.0556",932.0556,0,0
"932.0833",932.0833,0,0
"932.1111",932.1111,0,0
"932.1389",932.1389,0,0
"932.1667",932.1667,0,0
"932.1944",932.1944,0,0
"932.2222",932.2222,0,0
"932.25",932.25,0,0
"932.2778",932.2778,0,0
"932.3056",932.3056,0,0
"932.3333",932.3333,0,0
"932.3611",932.3611,0,0
"932.3889",932.3889,0,0
"932.4167",932.4167,0,0
"932.4444",932.4444,0,0
"932.4722",932.4722,0,0
"932.5",932.5,0,0
"932.5278",932.5278,0,0
"932.5556",932.5556,0,0
"932.5833",932.5833,0,0
"932.6111",932.6111,0,0
"932.6389",932.6389,0,0
"932.6667",932.6667,0,0
"932.6944",932.6944,0,0
"932.7222",932.7222,0,0
"932.75",932.75,0,0
"932.7778",932.7778,0,0
"932.8056",932.8056,0,0
"932.8333",932.8333,0,0
"932.8611",932.8611,0,0
"932.8889",932.8889,0,0
"932.9167",932.9167,0,0
"932.9444",932.9444,0,0
"932.9722",932.9722,0,0
"933",933,0,0
"933.0278",933.0278,0,0
"933.0556",933.0556,0,0
"933.0833",933.0833,0,0
"933.1111",933.1111,0,0
"933.1389",933.1389,0,0
"933.1667",933.1667,0,0
"933.1944",933.1944,0,0
"933.2222",933.2222,0,0
"933.25",933.25,0,0
"933.2778",933.2778,0,0
"933.3056",933.3056,0,0
"933.3333",933.3333,0,0
"933.3611",933.3611,0,0
"933.3889",933.3889,0,0
"933.4167",933.4167,0,0
"933.4444",933.4444,0,0
"933.4722",933.4722,0,0
"933.5",933.5,0,0
"933.5278",933.5278,0,0
"933.5556",933.5556,0,0
"933.5833",933.5833,0,0
"933.6111",933.6111,0,0
"933.6389",933.6389,0,0
"933.6667",933.6667,0,0
"933.6944",933.6944,0,0
"933.7222",933.7222,0,0
"933.75",933.75,0,0
"933.7778",933.7778,0,0
"933.8056",933.8056,0,0
"933.8333",933.8333,0,0
"933.8611",933.8611,0,0
"933.8889",933.8889,0,0
"933.9167",933.9167,0,0
"933.9444",933.9444,0,0
"933.9722",933.9722,0,0
"934",934,0,0
"934.0278",934.0278,0,0
"934.0556",934.0556,0,0
"934.0833",934.0833,0,0
"934.1111",934.1111,0,0
"934.1389",934.1389,0,0
"934.1667",934.1667,0,0
"934.1944",934.1944,0,0
"934.2222",934.2222,0,0
"934.25",934.25,0,0
"934.2778",934.2778,0,0
"934.3056",934.3056,0,0
"934.3333",934.3333,0,0
"934.3611",934.3611,0,0
"934.3889",934.3889,0,0
"934.4167",934.4167,0,0
"934.4444",934.4444,0,0
"934.4722",934.4722,0,0
"934.5",934.5,0,0
"934.5278",934.5278,0,0
