"","V1","V2","V3"
"804.0833",804.0833,0.005275,-0.09495
"804.1111",804.1111,0.00505,-0.0909
"804.1389",804.1389,0.004825,-0.08685
"804.1667",804.1667,0.004625,-0.08325
"804.1944",804.1944,0.00445,-0.0801
"804.2222",804.2222,0.004275,-0.07695
"804.25",804.25,0.0041,-0.0738
"804.2778",804.2778,0.003925,-0.07065
"804.3056",804.3056,0.00375,-0.0675
"804.3333",804.3333,0.003625,-0.06525
"804.3611",804.3611,0.00345,-0.0621
"804.3889",804.3889,0.003325,-0.05985
"804.4167",804.4167,0.003175,-0.05715
"804.4444",804.4444,0.003075,-0.05535
"804.4722",804.4722,0.002925,-0.05265
"804.5",804.5,0.002825,-0.05085
"804.5278",804.5278,0.0027,-0.0486
"804.5556",804.5556,0.002575,-0.04635
"804.5833",804.5833,0.0025,-0.045
"804.6111",804.6111,0.002375,-0.04275
"804.6389",804.6389,0.002275,-0.04095
"804.6667",804.6667,0.0022,-0.0396
"804.6944",804.6944,0.0021,-0.0378
"804.7222",804.7222,0.002025,-0.03645
"804.75",804.75,0.00195,-0.0351
"804.7778",804.7778,0.001875,-0.03375
"804.8056",804.8056,0.001775,-0.03195
"804.8333",804.8333,0.0017,-0.0306
"804.8611",804.8611,0.00165,-0.0297
"804.8889",804.8889,0.001575,-0.02835
"804.9167",804.9167,0.0015,-0.027
"804.9444",804.9444,0.00145,-0.0261
"804.9722",804.9722,0.0014,-0.0252
"805",805,0.001325,-0.02385
"805.0278",805.0278,0.0013,-0.0234
"805.0556",805.0556,0.001225,-0.02205
"805.0833",805.0833,0.001175,-0.02115
"805.1111",805.1111,0.001125,-0.02025
"805.1389",805.1389,0.001075,-0.01935
"805.1667",805.1667,0.00105,-0.0189
"805.1944",805.1944,0.001,-0.018
"805.2222",805.2222,0.00095,-0.0171
"805.25",805.25,9e-04,-0.0162
"805.2778",805.2778,0.000875,-0.01575
"805.3056",805.3056,0.00085,-0.0153
"805.3333",805.3333,8e-04,-0.0144
"805.3611",805.3611,7e-04,-0.0126
"805.3889",805.3889,0.000675,-0.01215
"805.4167",805.4167,0.00065,-0.0117
"805.4444",805.4444,0.000625,-0.01125
"805.4722",805.4722,6e-04,-0.0108
"805.5",805.5,0.000575,-0.01035
"805.5278",805.5278,0.00055,-0.0099
"805.5556",805.5556,0.000525,-0.00945
"805.5833",805.5833,5e-04,-0.009
"805.6111",805.6111,0.000475,-0.00855
"805.6389",805.6389,0.000475,-0.00855
"805.6667",805.6667,0.00045,-0.0081
"805.6944",805.6944,0.000425,-0.00765
"805.7222",805.7222,4e-04,-0.0072
"805.75",805.75,4e-04,-0.0072
"805.7778",805.7778,0.000375,-0.00675
"805.8056",805.8056,0.00035,-0.0063
"805.8333",805.8333,0.00035,-0.0063
"805.8611",805.8611,0.000325,-0.00585
"805.8889",805.8889,0.000325,-0.00585
"805.9167",805.9167,3e-04,-0.0054
"805.9444",805.9444,3e-04,-0.0054
