Year,Source ,GREENLAND,GREENLAND,ANTARCTICA,ANTARCTICA,Global volcanic forcing (GVF),GVF,"Global forcing (Crowley 2013) (time-integrated, large tropical eruptions, 1600-2000)",
CE,"1, tropical; 2, NH; 3 SH",Sulfate [kg km-2],estimated uncertainty [kg km-2],Sulfate [kg km-2],estimated uncertainty [kg km-2],W [m-2],estimated uncertainty [W m-2],CE,W [m-2]
1171,1,37.0,9.7,19.5,2.3,-11.30,-3.46,,
1137,2,11.2,2.9,,,-1.28,-0.46,,
1127,1,19.0,5.0,3.2,0.5,-4.44,-1.50,,
1118,3,,,1.6,0.8,-0.33,-0.18,,
1115,2,6.8,1.8,,,-0.78,-0.28,,
1108,1,48.3,12.7,11.6,1.6,-11.99,-3.94,,
1092,3,,,1.2,0.6,-0.24,-0.13,,
1067,2,5.1,1.3,,,-0.58,-0.21,,
1064,2,6.0,1.6,,,-0.68,-0.25,,
1057,2,5.0,1.3,,,-0.57,-0.21,,
1039,3,,,10.9,1.6,-2.19,-0.63,,
1028,1,21.7,5.7,2.9,0.5,-4.92,-1.68,,
1020,2,14.1,3.7,,,-1.60,-0.58,,
1017,2,4.2,1.1,,,-0.48,-0.17,,
1011,2,11.2,2.9,,,-1.28,-0.46,,
1003,1,15.1,4.0,3.9,2.0,-3.81,-1.30,,
998,2,6.6,1.7,,,-0.75,-0.27,,
990,3,,,1.1,0.6,-0.23,-0.13,,
982,2,10.7,2.8,,,-1.22,-0.44,,
976,1,16.3,4.3,6.9,1.0,-4.64,-1.45,,
970,2,11.9,3.1,,,-1.36,-0.49,,
960,3,,,8.0,1.0,-1.60,-0.45,,
958,2,5.3,1.4,,,-0.60,-0.22,,
953,2,8.4,2.2,,,-0.96,-0.35,,
946,2,12.1,3.2,,,-1.38,-0.50,,
939,2,88.7,23.3,,,-10.12,-3.67,,
929,1,10.8,2.8,4.0,0.5,-2.95,-0.93,,
916,1,23.8,6.2,5.8,1.0,-5.94,-1.95,,
908,2,6.2,1.6,,,-0.71,-0.26,,
904,2,22.5,5.9,,,-2.56,-0.93,,
900,1,6.6,1.7,7.0,0.8,-2.72,-0.78,,
880,2,8.6,2.3,,,-0.98,-0.36,,
879,2,17.6,4.6,,,-2.01,-0.73,,
876,2,13.7,3.6,,,-1.56,-0.56,,
869,3,,,2.7,1.3,-0.54,-0.30,,
859,1,6.4,1.7,6.7,1.0,-2.62,-0.76,,
853,1,20.6,5.4,6.4,1.0,-5.41,-1.74,,
841,2,6.1,1.6,,,-0.70,-0.25,,
837,2,7.2,1.9,,,-0.82,-0.30,,
835,2,4.3,1.1,,,-0.49,-0.18,,
827,3,,,1.3,0.6,-0.26,-0.15,,
822,2,29.6,7.8,,,-3.37,-1.22,,
819,3,,,7.1,1.1,-1.42,-0.42,,
817,2,58.2,15.3,,,-6.64,-2.41,,
800,2,18.1,4.7,,,-2.06,-0.75,,
782,2,21.7,5.7,,,-2.48,-0.90,,
777,2,7.8,2.0,,,-0.89,-0.32,,
764,1,17.6,4.6,1.0,0.5,-3.73,-1.32,,
756,2,31.1,8.2,,,-3.55,-1.29,,
750,2,63.2,16.6,,,-7.21,-2.61,,
749,3,,,7.0,1.2,-1.41,-0.42,,
745,3,,,8.8,1.3,-1.76,-0.51,,
732,2,5.8,1.5,,,-0.66,-0.24,,
725,3,,,3.9,0.7,-0.77,-0.24,,
717,3,,,3.8,1.9,-0.76,-0.43,,
713,3,,,7.0,1.3,-1.40,-0.44,,
698,1,5.7,1.5,5.0,0.7,-2.13,-0.63,,
694,2,9.9,2.6,,,-1.12,-0.41,,
688,1,14.7,3.9,,,-2.94,-1.07,,
682,1,38.4,10.1,38.7,4.6,-15.43,-4.45,,
671,2,7.0,1.8,,,-0.80,-0.29,,
657,2,5.3,1.4,,,-0.60,-0.22,,
