ANNUAL MEAN TSI: Lean (GRL 2000) with Wang Lean Sheeley (ApJ 2005) background
Year
TSI (W/m2)
    YEAR   Lean_TSI_11-yr_cycle   Lean_TSI_cycle+background  
  1792.      1365.8898      1365.5961
  1793.      1365.8828      1365.5756
  1794.      1365.8069      1365.4816
  1795.      1365.7050      1365.3645
  1796.      1365.6909      1365.3348
  1797.      1365.6487      1365.2817
  1798.      1365.6277      1365.2567
  1799.      1365.6339      1365.2629
  1800.      1365.6719      1365.3035
  1801.      1365.9537      1365.5757
  1802.      1365.8428      1365.4541
  1803.      1365.7246      1365.3218
  1804.      1365.7465      1365.3257
  1805.      1365.7745      1365.3361
  1806.      1365.6881      1365.2385
  1807.      1365.6298      1365.1710
  1808.      1365.6193      1365.1458
  1809.      1365.6030      1365.1180
  1810.      1365.5946      1365.1094
  1811.      1365.5967      1365.1222
  1812.      1365.6227      1365.1631
  1813.      1365.6586      1365.2117
  1814.      1365.6677      1365.2355
  1815.      1365.7126      1365.2906
  1816.      1365.8110      1365.3866
  1817.      1365.7914      1365.3600
  1818.      1365.7471      1365.3119
  1819.      1365.7295      1365.2968
  1820.      1365.6698      1365.2410
  1821.      1365.6249      1365.2194
  1822.      1365.6157      1365.2432
  1823.      1365.6030      1365.2483
  1824.      1365.6305      1365.2893
  1825.      1365.6958      1365.3627
  1826.      1365.7957      1365.4659
  1827.      1365.9066      1365.5771
  1828.      1365.9952      1365.6646
  1829.      1366.0107      1365.6825
  1830.      1366.0465      1365.7235
  1831.      1365.8701      1365.5585
  1832.      1365.7542      1365.4565
  1833.      1365.6403      1365.3612
  1834.      1365.6635      1365.3966
  1835.      1365.9200      1365.6577
  1836.      1366.2988      1366.0393
  1837.      1366.3635      1366.1127
  1838.      1366.1387      1365.8997
  1839.      1366.0521      1365.8174
  1840.      1365.9341      1365.7007
  1841.      1365.7816      1365.5490
  1842.      1365.7267      1365.4940
  1843.      1365.6522      1365.4237
  1844.      1365.6775      1365.4543
  1845.      1365.8041      1365.5820
  1846.      1365.9025      1365.6803
  1847.      1366.0023      1365.7816
  1848.      1366.1976      1365.9781
  1849.      1366.1829      1365.9691
  1850.      1365.9812      1365.7698
  1851.      1366.0029      1365.7744
  1852.      1365.9446      1365.6947
  1853.      1365.8448      1365.5848
  1854.      1365.7162      1365.4614
  1855.      1365.6262      1365.3828
  1856.      1365.6163      1365.3853
  1857.      1365.7169      1365.4946
