Orbital parameters for the last 2000 years to 2100 AD (Berger, 1978)
(Slightly higher precision than the calculation in the reference)

This file is available on
	https://pmip3.lsce.ipsl.fr/wiki/doku.php/pmip3:design:lm:index

Year   = Common Era (CE or AD)
ECCEN  = eccentricity of orbital ellipse
OBLIQ  = latitude of Tropic of Cancer in degrees
PERI   = longitude of perihelion 

       = spatial angle from vernal equinox to perihelion in degrees
         with sun as angle vertex

Note that for the period 0-2100 CE, the changes in orbital parameters
are well approximated by linear regressions:

ECCEN    = 0.017475 - 0.000000382 * Year
OBLIQ    = 23.697   - 0.000128    * Year
PERI-180 = 68.79    + 0.0170      * Year

  Year    ECCEN       OBLIQ       PERI-180
   150   0.0174121   23.676805    71.36262
   151   0.0174118   23.676681    71.37958
   152   0.0174114   23.676556    71.39654
   153   0.0174110   23.676432    71.41350
   154   0.0174107   23.676308    71.43046
   155   0.0174103   23.676183    71.44742
   156   0.0174100   23.676059    71.46438
   157   0.0174096   23.675935    71.48134
   158   0.0174092   23.675810    71.49830
   159   0.0174089   23.675686    71.51526
   160   0.0174085   23.675562    71.53222
   161   0.0174082   23.675437    71.54918
   162   0.0174078   23.675313    71.56614
   163   0.0174074   23.675189    71.58310
   164   0.0174071   23.675064    71.60006
   165   0.0174067   23.674940    71.61702
   166   0.0174064   23.674816    71.63398
   167   0.0174060   23.674691    71.65095
   168   0.0174056   23.674567    71.66791
   169   0.0174053   23.674443    71.68487
   170   0.0174049   23.674318    71.70183
   171   0.0174046   23.674194    71.71879
   172   0.0174042   23.674069    71.73575
   173   0.0174038   23.673945    71.75271
   174   0.0174035   23.673821    71.76968
   175   0.0174031   23.673696    71.78664
   176   0.0174028   23.673572    71.80360
   177   0.0174024   23.673447    71.82056
   178   0.0174020   23.673323    71.83752
   179   0.0174017   23.673198    71.85449
   180   0.0174013   23.673074    71.87145
   181   0.0174010   23.672950    71.88841
   182   0.0174006   23.672825    71.90537
   183   0.0174002   23.672701    71.92234
   184   0.0173999   23.672576    71.93930
   185   0.0173995   23.672452    71.95626
   186   0.0173992   23.672327    71.97323
   187   0.0173988   23.672203    71.99019
   188   0.0173984   23.672078    72.00715
   189   0.0173981   23.671954    72.02411
   190   0.0173977   23.671829    72.04108
   191   0.0173974   23.671705    72.05804
   192   0.0173970   23.671580    72.07501
   193   0.0173966   23.671456    72.09197
   194   0.0173963   23.671331    72.10893
   195   0.0173959   23.671206    72.12590
   196   0.0173956   23.671082    72.14286
